coord,mcdonalds5,mcdonalds20,subway5,subway20
"(30.460717600000002, -97.7928744)",3,31,5,46
"(40.9220806, -75.3999187)",0,4,0,6
"(40.7274006, -73.8124604)",21,254,35,337
"(40.7505058, -73.990583)",54,262,85,380
"(40.7291264, -73.99326429999999)",53,259,80,370
"(40.709374600000004, -74.0099791)",39,245,48,353
"(38.8969797, -77.0289132)",27,127,54,201
"(34.0565932, -118.4259996)",7,121,21,230
"(40.718838500000004, -73.9882797)",56,257,73,364
"(32.820654100000006, -117.1780115)",7,49,12,95
"(40.7185138, -74.0011677)",51,254,67,361
"(40.7525294, -73.9928762)",54,262,85,380
"(37.3854949, -121.99542109999999)",5,61,14,128
"(28.399986300000002, -81.4051029)",4,52,5,64
"(40.759057299999995, -111.8973832)",10,40,10,51
"(38.9054561, -77.0442355)",24,129,55,202
"(40.750831, -73.98909609999998)",54,261,84,381
"(34.035269899999996, -118.2382063)",22,170,36,288
"(25.7902955, -80.13207740000001)",1,46,8,109
"(32.7976607, -117.24946969999999)",1,34,1,73
"(44.981409899999996, -73.4598199)",0,0,0,1
"(33.931261299999996, -118.2829548)",12,171,14,286
"(34.012219200000004, -118.4945396)",6,70,16,142
"(28.450386600000005, -81.4714142)",7,58,9,70
"(29.676266899999998, -98.6345801)",0,20,1,50
"(41.8796564, -87.77791309999999)",15,171,18,249
"(30.3291349, -97.6606295)",3,32,3,53
"(34.1525074, -118.36790359999999)",6,123,13,230
"(39.8520594, -74.9810994)",2,44,2,31
"(33.0093179, -97.22292540000001)",0,27,3,49
"(40.7719101, -74.1614754)",6,152,20,251
"(32.9580411, -97.30765179999999)",2,27,4,51
"(36.0902437, -115.1758223)",15,90,32,142
"(28.3335081, -81.51373840000001)",1,35,5,46
"(28.6553497, -81.3426916)",5,54,4,69
"(28.423814399999998, -81.46124209999999)",7,56,7,67
"(38.8128231, -77.18505479999999)",6,97,11,164
"(32.7445961, -96.8122859)",8,69,14,106
"(25.8099996, -80.1890981)",7,72,21,153